ID,repeats,experimental_replicate,boscalid-ecuatorial,boscalid-polar,control-ecuatorial,control-polar
461,1,1,15.81,17.33,48.18,48.97
461,2,1,16.89,16.58,48.38,50.42
461,3,1,17.2,16.62,53.66,51.62
461,1,1,19.23,18.18,57.15,56.89
461,2,1,23.49,20.4,54.1,57.5
461,3,1,20.89,20.83,53.74,54.38
461,1,1,20.72,18.06,56.62,59.99
461,2,1,20.13,19.6,56.33,58.34
461,3,1,20.09,14.9,59,59.99
461,1,1,17.33,21.92,59.53,57.66
461,2,1,19.82,18.46,58.76,58.2
461,3,1,16.25,19.68,53.79,55.98
461,1,1,18.56,20.24,42.68,41.78
461,2,1,19.73,23.03,42.15,46.5
461,3,1,21.76,21.79,45.24,49.5
700,1,1,18.85,19.96,57.73,56.27
700,2,1,20.26,20,54.29,55.75
700,3,1,20.55,20.76,52.19,49.31
701,1,1,26.46,27.4,61.83,65.4
701,2,1,25.37,23.4,60.15,62.25
701,3,1,24.32,20.8,64.61,65.25
702,1,1,24.98,24.22,59.19,61.26
702,2,1,21.12,23.65,61.63,62.16
702,3,1,22.97,24.59,61.89,63.16
703,1,1,22.99,23.79,66.4,68.53
703,2,1,20.39,20.05,66.66,67.51
703,3,1,21.55,20.66,64.22,68.37
704,1,1,18.82,19.06,57.63,58.74
704,2,1,19.49,19.01,57.24,56.82
704,3,1,20.62,19.59,60.66,60.6
705,1,1,19.76,20.47,61.62,60.94
705,2,1,18.56,20.52,61.27,62.9
705,3,1,18.3,19.65,60.43,60.61
706,1,1,20.9,20.53,59.16,60.05
706,2,1,20.03,19.63,62.4,61.67
706,3,1,20.45,18.96,62.42,63.64
707,1,1,24.72,25.03,64.06,65.85
707,2,1,25.28,25.12,65.87,63.04
707,3,1,23.99,26.6,67.24,67.08
708,1,1,19.77,19.99,61.63,62.13
708,2,1,18.51,20.73,64.68,64.74
708,3,1,19.6,20.33,66.66,65.78
709,1,1,19.2,19.5,67.76,65.73
709,2,1,19.85,20.39,60.44,63.89
709,3,1,20.06,19.73,63.82,65.61
713,1,1,19.42,18.5,59.35,56.48
713,2,1,18.87,20.79,56.13,54.74
713,3,1,20.1,21.33,57.27,56.63
714,1,1,27.41,25.35,56.77,56.19
714,2,1,24.65,24.83,63.25,59.77
714,3,1,24.98,24.49,58.63,61.81
715,1,1,25.87,25.98,58.83,58.51
715,2,1,26.66,28.4,53.89,58.46
715,3,1,25.25,27.24,57.42,56.01
716,1,1,22.58,22.45,57.19,60.2
716,2,1,21.81,22.41,58.83,60.58
716,3,1,23.02,22.97,59.9,62.49
717,1,1,24.12,26.54,52.35,53.78
717,2,1,24.23,23.69,50.27,50.62
717,3,1,22.41,23.2,51.82,52.16
718,1,1,19.4,19.13,63.9,65.15
718,2,1,19.24,19.87,66.7,65.89
718,3,1,18.56,19.49,64.35,61.43
719,1,1,20.02,19.91,57.5,58.95
719,2,1,21.3,20.9,57.24,58.62
719,3,1,18.66,18.33,60.13,61.51
720,1,1,24.83,23.29,61.82,60.42
720,2,1,25.3,23.47,62.25,61.78
720,3,1,24.92,24.24,60.65,63.05
721,1,1,19.03,20.18,57.37,58.78
721,2,1,18.95,17.83,56.28,59.97
721,3,1,18.08,20.55,53.72,53.45
726,1,1,21.71,23.2,55.72,55.07
726,2,1,22.09,23.12,55.29,57.34
726,3,1,23.12,23.79,59.54,55.75
727,1,1,24.97,21.77,58.87,57.82
727,2,1,22.92,22.28,61.23,60.11
727,3,1,22.97,22.47,60.46,59.97
728,1,1,19.79,18.73,57.31,56.68
728,2,1,19.32,17.51,61.22,58.61
728,3,1,20.34,19.45,61.11,57.13
729,1,1,16.93,18.21,60.49,58.8
729,2,1,19.96,19.26,60.14,57.67
729,3,1,18.02,17.94,58.11,61.72
730,1,1,19.21,19.26,61.65,57.7
730,2,1,17.25,19.65,57.94,55.96
730,3,1,17.96,19.74,63.53,61.96
733,1,1,22.52,23.45,58.82,59.4
733,2,1,23.88,20.23,60.46,56.21
733,3,1,24.98,24.67,55.99,52.74
734,1,1,18.52,17.66,62.6,59.42
734,2,1,18.4,19.62,63.33,58.92
734,3,1,15.52,19.31,60.09,61.7
735,1,1,17.08,18.7,63.21,63.11
735,2,1,18.1,16.26,64.9,64.2
735,3,1,18.87,19.13,62.62,62.01
736,1,1,18.34,17.65,62.48,61.81
736,2,1,19.59,18.89,64.52,63.12
736,3,1,19.58,20.57,61.32,63.27
737,1,1,16.16,17.39,61.86,61.76
737,2,1,18.06,19,63.95,65.16
737,3,1,17.19,18.26,64.01,65.92
740,1,1,21.02,21.89,53.02,57.23
740,2,1,22.24,26.35,46.49,53.02
740,3,1,23.53,23.45,53.43,54.99
741,1,1,18.06,19.84,61.54,61.6
741,2,1,19.4,19.09,63.59,65.66
741,3,1,19.71,19.34,63.05,64.18
743,1,1,17.64,16.66,58.45,60.05
743,2,1,18.11,16.08,56.14,60.41
743,3,1,18.06,15.38,55.01,57.59
744,1,1,18.32,18.71,60.8,63.23
744,2,1,18.92,17.54,60.76,60.92
744,3,1,16.86,18.3,60.35,59.7
747,1,1,18.14,17.67,57.93,59.15
747,2,1,18.44,17.28,57.18,54.25
747,3,1,19.28,21.31,52.29,54.31
748,1,1,15.39,14.32,58.76,58.11
748,2,1,17.68,16.07,59.7,56.79
748,3,1,17.2,15.16,60.09,61.29
749,1,1,18.17,18.48,56.96,58.61
749,2,1,16.88,17.99,57.38,61.42
749,3,1,17.33,17.8,61.46,60.52
750,1,1,19.93,62.29,59.64,59.17
750,2,1,17.51,19.76,58.66,60.74
750,3,1,17.91,19.41,61.79,60.04
752,1,1,15.69,16.7,58.75,58.37
752,2,1,17.44,17.61,54.94,53.63
752,3,1,18.48,17.63,59.41,55.46
753,1,1,,,50.73,51.9
753,2,1,18.43,17.94,52.86,51.97
753,3,1,19.15,20.78,49.08,49.65
754,1,1,15.56,17.62,56.15,57.1
754,2,1,16.72,17.63,58.85,60.94
754,3,1,17.62,17.51,57.79,57.81
758,1,1,23.33,23.31,58.59,59.69
758,2,1,24.14,24.52,56.7,58.12
758,3,1,24.01,24.42,60.71,58.67
759,1,1,23.82,21.93,62.54,59.07
759,2,1,19.95,20.93,58.81,63.58
759,3,1,20.1,20.73,61.78,57.29
760,1,1,19.84,19.07,65.61,57.95
760,2,1,19.94,20.28,65,60.54
760,3,1,17.38,18.32,63.23,62.97
762,1,1,20.58,19.85,64.22,61.9
762,2,1,21.17,21.49,62.26,62.23
762,3,1,20.75,20.75,59.18,61.76
763,1,1,22.31,23.1,62.66,58.16
763,2,1,21.25,21.67,63.55,64.03
763,3,1,21.64,23.18,63.58,60.24
766,1,1,19.17,23.12,60.99,63.1
766,2,1,19.17,22.49,60.3,59.97
766,3,1,20.33,19.79,62.02,61.43
767,1,1,23.01,22.42,55.22,58.72
767,2,1,23.09,22.24,57.9,58.17
767,3,1,22.3,20.82,61.6,58.81
768,1,1,23.29,19.37,66.63,68.27
768,2,1,22.38,23.21,69.38,65.89
768,3,1,25.21,23.47,65.16,63.18
769,1,1,22.9,20.95,57.48,62.5
769,2,1,21.47,22.62,59.83,59.65
769,3,1,21.56,22.59,63.42,61.94
770,1,1,21.57,21.27,57.65,54.62
770,2,1,21.03,23.02,56.24,56.38
770,3,1,22.91,23.72,54.38,54.94
788,1,1,21.21,21.49,57.09,54.8
788,2,1,21.62,21.47,56.78,55.15
788,3,1,21.74,19.93,53.24,53.81
789,1,1,23.16,23.96,62.52,62.41
789,2,1,24.9,22.68,64.03,61.91
789,3,1,24.28,22.87,64.7,61.01
790,1,1,30.75,29.4,39.96,40.74
790,2,1,28.28,29.45,40.67,40.74
790,3,1,27.46,29.67,39.1,41.62
791,1,1,24.25,21.77,62.39,60.14
791,2,1,22.54,21.15,61.43,67.13
791,3,1,24.08,22.23,57.5,62.31
792,1,1,26.23,27.52,63.81,60.36
792,2,1,27.76,27.37,62.26,63.25
792,3,1,28.94,27.85,62.16,59.99
793,1,1,23.81,21.73,57.87,58.66
793,2,1,22.62,22.3,59.49,61.29
793,3,1,25.73,21.69,60.23,60.34
794,1,1,24.5,23.56,62.64,62.83
794,2,1,26.83,21.82,57.19,61.39
794,3,1,24.04,25.03,59.29,57.67
795,1,1,22.29,21.79,54.55,56.04
795,2,1,22.35,24.01,56.15,56
795,3,1,25.63,22.52,54.21,55.32
796,1,1,22.28,23.13,59.09,64.04
796,2,1,19.31,23.33,60.42,59.59
796,3,1,20.88,23.59,61.74,64.01
797,1,1,24.57,25.44,53.72,60.6
797,2,1,22.79,24.65,50.41,58.08
797,3,1,25.44,22.18,51.99,57.55
810,1,1,23.36,24.16,57.3,56.67
810,2,1,20.6,24.15,54.4,55.22
810,3,1,23.72,22.98,50.6,52
815,1,1,19.88,19.42,61.48,60.78
815,2,1,18.52,20.12,60.38,56.69
815,3,1,21.44,21.32,60.68,63.2
816,1,1,20.18,19.82,57.94,59.5
816,2,1,19.72,19.84,58.16,57.08
816,3,1,21.06,20.04,59.25,58.75
819,1,1,23.83,23.38,55.41,55.57
819,2,1,27.25,24.59,58.89,57.19
819,3,1,25.69,23.22,56.72,57.22
863,1,1,19.55,20.19,58.2,60.2
863,2,1,19.3,20.42,57.12,59.01
863,3,1,19.53,19.2,58.75,60.66
864,1,1,18.35,18.24,60.57,61.45
864,2,1,20.7,18.63,57.81,60.18
864,3,1,20.38,18.12,56.76,60.04
865,1,1,21.65,21.81,54.72,52.49
865,2,1,21.55,21.71,56.49,54.07
865,3,1,23.41,21,53.35,54.49
866,1,1,21.55,19.67,66.15,66.46
866,2,1,22.23,20.71,62.21,63.89
866,3,1,19.66,20.95,62.32,64.35
868,1,1,22.81,23.71,63.37,61.27
868,2,1,23.25,22.05,66.27,65.68
868,3,1,24.69,22.14,59.78,62.6
869,1,1,20.39,20,52.17,50.44
869,2,1,21.49,21.21,50.74,54.5
869,3,1,22.72,21.37,48.46,52.56
872,1,1,23.09,20.41,54.71,56.69
872,2,1,19.79,21.39,56.57,58.28
872,3,1,18.71,21.64,56.58,53.92
873,1,1,24.21,23.76,60.75,59.28
873,2,1,24.02,23.07,58,61.01
873,3,1,23.2,26.04,57.87,60.38
874,1,1,18.3,18.44,56.32,55.13
874,2,1,19.73,19.07,55,55.66
874,3,1,18.91,18.55,58.25,61.08
875,1,1,17.01,17.14,60.54,58.58
875,2,1,18.15,19.27,59.63,63.54
875,3,1,18.79,17.8,60.86,58.45
876,1,1,21,18.1,58,57.16
876,2,1,20.22,20.47,57.9,59.34
876,3,1,19.77,20.03,58.52,57.88
879,1,1,20.21,20.45,57.35,57.29
879,2,1,20.23,20.44,57.94,59.49
879,3,1,20.76,20.19,57.08,58.35
880,1,1,20.6,19.89,63.19,63.18
880,2,1,20.41,20.12,65,61.5
880,3,1,21.4,19.09,60.21,64.08
881,1,1,19.37,20.06,55.99,58.76
881,2,1,20.29,19.25,54.53,56.01
881,3,1,19.48,19.48,56.96,58.34
882,1,1,21.75,25.98,63.32,64.25
882,2,1,26.02,22.24,64.83,67.02
882,3,1,21.08,24.86,67.75,67.11
883,1,1,20.16,20.53,62.95,62.95
883,2,1,19.46,20.89,56.38,57.01
883,3,1,20.43,21.99,57.51,60.64
886,1,1,26.22,23.34,57.79,57.08
886,2,1,24.36,21.43,60.63,59.76
886,3,1,24.39,23.43,59.5,60.75
887,1,1,22.46,20.28,56.97,59.37
887,2,1,19.56,20.7,58.1,61.52
887,3,1,22,18.1,56.29,53.51
888,1,1,23.08,25.24,56.87,54.72
888,2,1,,,49.72,48.35
888,3,1,,,59.92,54.54
889,1,1,23.5,26.59,51.5,52.46
889,2,1,25.21,25.57,52.09,55.48
889,3,1,25.17,25.14,52.68,49.44
890,1,1,22.41,24.14,61.81,58.59
890,2,1,21.55,26.16,57.83,58.34
890,3,1,26.17,27.34,58.82,58.48
893,1,1,22.41,17.59,61.81,58.04
893,2,1,21,20.22,61.22,58.07
893,3,1,21.42,17.59,60.8,59.35
894,1,1,23.3,23.3,52.66,50.78
894,2,1,23.84,23.35,53.2,52.16
894,3,1,25.99,23.73,49.69,54.86
895,1,1,21.08,23.48,57.44,60.63
895,2,1,20.19,24.07,60,59.2
895,3,1,21.46,24.46,59.7,58.69
898,1,1,22.61,23.82,61.22,61.22
898,2,1,23.25,24.5,59.56,58.28
898,3,1,23.34,24.59,62.32,63.83
899,1,1,25.76,23.48,56.39,56.98
899,2,1,27.54,21.99,56.23,56.04
899,3,1,21.32,23.49,55.92,58.87
900,1,1,21.62,20.31,59.22,57.09
900,2,1,23.28,22.29,58.74,56.35
900,3,1,20.58,24.28,59.29,51.47
903,1,1,22.11,23.89,54.18,58.54
903,2,1,23.12,24.45,54.57,56.44
903,3,1,23.84,24.33,57.34,58.69
904,1,1,18.33,21.65,57.58,58.43
904,2,1,20.78,21.88,62.22,60.3
904,3,1,22.08,22.87,57.37,56.97
907,1,1,17.7,18.12,54.03,49.81
907,2,1,16.75,19.44,43.02,46.88
907,3,1,19.3,19.95,54.17,50.61
910,1,1,21.37,23.56,55.78,54.88
910,2,1,22.93,23.87,54.62,56.5
910,3,1,24.31,22.54,54.16,56.21
461,1,2,21.64,22.58,44.48,47.41
461,2,2,26.15,25.81,47.78,50.88
461,3,2,23.98,26.89,46.83,45.98
461,1,2,21.37,18.23,50.99,48
461,2,2,21.84,20.94,46.06,50.74
461,3,2,22.72,20.96,50.52,52.14
461,1,2,22.18,19.45,52.35,53.4
461,2,2,20.66,17.82,53.4,56.24
461,3,2,19.07,17.74,56.67,57.88
461,1,2,22.09,21.4,50.52,52.15
461,2,2,17.8,23.63,55.78,58.42
461,3,2,21.06,18.37,59.08,55.23
461,1,2,19.47,17.96,59.46,61.25
461,2,2,18.88,16.21,59.55,55.02
461,3,2,20.75,15.86,58.93,61.65
700,1,2,19.01,21.09,45.6,53.27
700,2,2,17.06,19.88,51.53,56.53
700,3,2,19.07,18.58,47.47,50.68
701,1,2,15.53,20.32,58.24,57.88
701,2,2,19.21,19.6,53.47,49.52
701,3,2,18.18,18.11,53.73,52.47
702,1,2,17.07,20.51,50.78,58.38
702,2,2,19.4,21.43,55.1,60.57
702,3,2,18.28,19.27,53.43,56.23
703,1,2,18.56,17.98,53.44,56.79
703,2,2,16.91,18.55,48.58,53.42
703,3,2,18.68,17.91,52.97,52.71
704,1,2,15.18,13.78,60.32,59.29
704,2,2,14.5,13.86,60.84,61.29
704,3,2,15.88,15.26,57.22,55.47
705,1,2,16.12,16.8,53.21,56.73
705,2,2,15.62,16.59,54.91,55.66
705,3,2,15.83,17.31,50.81,53.61
706,1,2,16.09,17.46,57.11,57.31
706,2,2,13.94,15.93,58.54,62.11
706,3,2,15.58,16.92,54.5,56.37
707,1,2,18.76,21.14,57.12,55.97
707,2,2,18.46,19.16,54.64,59.9
707,3,2,19.97,21.75,53.56,54.91
708,1,2,14.78,16.21,44.12,47.95
708,2,2,15.4,16.09,48.98,53.45
708,3,2,16.27,18.01,52.91,52.01
709,1,2,24.26,21.63,69.41,66.72
709,2,2,21.75,21.71,68.08,66.67
709,3,2,23.48,22.35,68.52,69.08
713,1,2,20.58,16.7,55.42,56.24
713,2,2,22.16,21.04,54.9,57.12
713,3,2,19.76,17.64,64.31,61.72
714,1,2,20.81,24.86,60.21,60.19
714,2,2,23.5,21.22,59.27,56.51
714,3,2,23.41,23.36,55.69,55.05
715,1,2,22.76,21.98,60.76,60.65
715,2,2,26.08,23.35,59.94,62.18
715,3,2,24.86,23.94,61.64,61.41
716,1,2,21.39,18.85,64.8,63.9
716,2,2,21.29,18.79,61.87,65.48
716,3,2,19.93,18.76,63.84,61.6
717,1,2,24.11,24.22,60.95,61.58
717,2,2,24.1,23.67,64.13,63.62
717,3,2,21.64,24.99,64.43,64.99
718,1,2,19.66,19.89,65.5,68.16
718,2,2,18.11,18.78,64.89,67.54
718,3,2,18.35,18.45,62.75,65.55
719,1,2,20.6,21.59,59.72,59.95
719,2,2,21.38,22.22,66.52,68.26
719,3,2,22.32,21.38,68.29,66.93
720,1,2,19.01,18.09,63.14,60.85
720,2,2,19.26,17.76,62.88,63.69
720,3,2,15.91,18.29,61.64,62.09
721,1,2,19.51,18.72,59.37,60.67
721,2,2,19.77,15.99,59.77,58.4
721,3,2,19.2,17.52,63.5,66.03
726,1,2,21.78,21.53,61.82,64.12
726,2,2,21.16,16.93,62.98,60.93
726,3,2,19.61,18.91,64.66,61.91
727,1,2,21.22,21.51,62.55,61.36
727,2,2,21.32,22.74,53.5,52.78
727,3,2,18.33,21.51,57.64,57.3
728,1,2,19.91,18.97,58.65,58.27
728,2,2,20.39,19.72,59.87,60.97
728,3,2,19.02,20.52,61.83,61.28
729,1,2,21.45,22.47,62.01,66.39
729,2,2,20.17,21.71,66.99,62.79
729,3,2,23.13,22.53,66.01,61.68
730,1,2,21.86,20.91,61.64,59.9
730,2,2,20.4,20.54,62.69,59.71
730,3,2,20.1,18.01,61.83,64.82
733,1,2,22.07,18.79,59.81,57.58
733,2,2,21.55,19.66,54.38,55.38
733,3,2,18.8,20.46,56.25,57.76
734,1,2,19.56,19.88,60.74,59.59
734,2,2,22.23,21.45,59.24,60.39
734,3,2,21.41,22.01,62.35,62.89
735,1,2,21.63,20.47,64.23,65.02
735,2,2,22.22,21.59,59.95,61.51
735,3,2,20.93,19.91,62.79,65.48
736,1,2,23.55,22.44,63.18,61.11
736,2,2,23.2,22.88,61.13,63.28
736,3,2,21.4,23.86,65.78,65.87
737,1,2,18.34,16.87,56.22,59.42
737,2,2,17.16,15.06,62.7,56.61
737,3,2,16.72,15.83,57.84,59.5
740,1,2,18.92,19.46,54.15,55.75
740,2,2,16.94,19.22,56.72,58.56
740,3,2,19.18,17.66,51.44,58.85
741,1,2,20.24,16.5,58.7,65.54
741,2,2,18.71,19.89,61.55,63.78
741,3,2,15.48,18.45,62.62,59.45
743,1,2,18.32,15.24,50.87,45.07
743,2,2,17.03,15.72,51.83,57.92
743,3,2,16.99,14.77,48.23,57.33
744,1,2,17.75,16.11,61.62,58.73
744,2,2,16.68,19.62,63.73,59.28
744,3,2,19.93,16.38,59.77,55.48
747,1,2,14.38,16.56,54.65,56.52
747,2,2,15.06,18.27,56.09,57.63
747,3,2,14.01,17.11,56.39,60.15
748,1,2,16.08,14.17,59.42,60.03
748,2,2,16.06,16.72,64.25,61.57
748,3,2,18.28,15.1,62.35,57.54
749,1,2,20.13,18.68,56.64,55.04
749,2,2,17.81,15.24,54.82,49.72
749,3,2,18.09,18.09,51.79,43.97
750,1,2,14.52,16.23,58.79,55.68
750,2,2,15.08,17.77,56.44,55.57
750,3,2,17.27,16.16,56.83,58.55
752,1,2,15.98,15.41,62.57,61.16
752,2,2,15.39,14.87,64.86,62.39
752,3,2,17.09,14.38,63.82,63.51
753,1,2,16,16.68,49.4,51.98
753,2,2,14.71,15.07,49.3,50.85
753,3,2,15.79,16.96,48.79,58.82
754,1,2,18.15,17.76,53.24,52.73
754,2,2,20.77,18.56,53.05,49.72
754,3,2,20.56,19.33,50.63,54.14
758,1,2,22.45,19.7,49.19,55.65
758,2,2,19.64,19.06,53.42,61.04
758,3,2,20.86,17.98,57.71,59.54
759,1,2,18.09,22.91,56.83,51.78
759,2,2,18.95,21.69,53.96,52.76
759,3,2,21.88,19.19,52.32,55.42
760,1,2,17.14,17.05,54.49,57.45
760,2,2,16.94,18.31,54.54,55.05
760,3,2,17.59,18.96,54.82,57.27
762,1,2,18.82,16.81,52.65,43.83
762,2,2,18.59,15.69,51.93,42.73
762,3,2,20.09,17.93,56.27,51
763,1,2,20.67,18.48,54.33,54.23
763,2,2,20.72,21.51,63.2,57.68
763,3,2,16.31,20.12,54.04,57.87
766,1,2,16.35,19.67,57.44,57.56
766,2,2,20.53,15.95,56.6,57.31
766,3,2,17.44,19.71,55.14,55.58
767,1,2,19.95,21.16,48.09,52
767,2,2,18.47,23.93,53.36,56.06
767,3,2,20.98,19.1,49.63,51.4
768,1,2,19.14,18.58,61.87,59.82
768,2,2,19.16,17.85,65.92,63.91
768,3,2,19.95,17.5,63.23,61.99
769,1,2,18.67,17.68,56.24,56.87
769,2,2,19.52,15.71,57.32,55.21
769,3,2,19.74,16.86,60.49,58.99
770,1,2,19.48,21.39,60.58,62.66
770,2,2,22.11,20.27,61.8,58.8
770,3,2,23.47,22.9,62.34,58.88
788,1,2,21.64,19.39,50.61,55.66
788,2,2,18.66,22.49,57.16,59.3
788,3,2,20.14,19.05,60.76,60.84
789,1,2,22.85,23.24,61.77,56.4
789,2,2,22.78,21.73,61.26,61.98
789,3,2,23.54,22.22,61.81,60.62
790,1,2,17.51,15.77,60.8,60.77
790,2,2,16.79,18.93,58.82,56.73
790,3,2,18.81,18.93,61.54,60.53
791,1,2,23.11,15.88,59.02,56.26
791,2,2,21.36,21.38,57.31,57.76
791,3,2,22.83,20.54,57.76,59.25
792,1,2,19.7,17.55,61.86,63.14
792,2,2,20.26,17.47,61.8,61.01
792,3,2,18.73,18.17,62.6,61.02
793,1,2,18.49,20.41,58.9,62.28
793,2,2,22.58,20.11,60.33,60.12
793,3,2,20.61,18.68,58.78,61.75
794,1,2,15.84,18.06,56.6,58.27
794,2,2,16.5,17.06,60.84,64.5
794,3,2,16.73,18.83,63.58,64.94
795,1,2,18.9,20.06,60.38,56.48
795,2,2,19.5,18.97,57.97,54.14
795,3,2,16.08,19.5,57.14,59.42
796,1,2,18,13.85,59.63,61.63
796,2,2,14.95,16.86,62.03,59.06
796,3,2,18.89,15.98,59.72,60.19
797,1,2,22.4,19.6,57.43,63.13
797,2,2,20.78,18.08,62.15,60.9
797,3,2,20.19,22.65,61.8,59.87
810,1,2,18.35,20.27,56.73,59.19
810,2,2,21.9,22.73,53.29,59.99
810,3,2,18.44,21.29,60.52,58.99
815,1,2,21.43,17.09,57.1,59.79
815,2,2,20.32,18.24,59.28,66.43
815,3,2,20.68,17.76,61.1,59.86
816,1,2,19.04,20.54,60.38,62.83
816,2,2,21.84,21.04,60.51,63.59
816,3,2,16.44,21,60.14,58.69
819,1,2,20.53,17.53,50.41,53.08
819,2,2,18.38,18.71,54.64,56.64
819,3,2,21.29,16.69,64.12,60.8
863,1,2,19.07,20.53,59.5,61.51
863,2,2,18.34,22.15,63.03,63.13
863,3,2,18.33,21.1,61.45,63.66
864,1,2,17.43,17.18,64.76,62.26
864,2,2,17.93,14.1,63,63.62
864,3,2,16.84,14.54,62.07,59.16
865,1,2,18.77,20.63,56.1,61.24
865,2,2,18.5,17.48,64.21,61.19
865,3,2,18.33,17.2,63.04,61.44
866,1,2,16.46,19.26,61.99,65.09
866,2,2,15.64,17.53,65.97,60.07
866,3,2,17.14,18.19,64.6,65.97
868,1,2,19.5,20.9,55.23,57.64
868,2,2,20.96,22.59,61.08,59.76
868,3,2,20.81,22.22,58.09,57.19
869,1,2,20.88,19.23,63.86,61.19
869,2,2,18.82,20.58,64.21,62.31
869,3,2,21.65,19.2,63.27,60.74
872,1,2,23.12,17.5,56.42,55.45
872,2,2,18.91,19.77,52.46,55.55
872,3,2,18.92,18.97,51.25,52.56
873,1,2,20.08,19.67,55.39,54.71
873,2,2,18.96,19.28,53.37,55.46
873,3,2,20.95,20.37,54.75,52.41
874,1,2,,,,
874,2,2,,,,
874,3,2,,,,
875,1,2,16.35,17.23,64.2,61.57
875,2,2,15.23,16.97,61.16,61.36
875,3,2,16.55,14.17,61.45,64.33
876,1,2,,,,
876,2,2,,,,
876,3,2,,,,
879,1,2,16.57,19.15,60.36,64.45
879,2,2,19.22,16.8,61.73,60
879,3,2,17.78,20.7,63.02,60.6
880,1,2,,,,
880,2,2,,,,
880,3,2,,,,
881,1,2,18.86,17.05,59.12,57.14
881,2,2,18.19,16.97,56.69,60.67
881,3,2,19.78,15.85,63.82,58.22
882,1,2,,,,
882,2,2,,,,
882,3,2,,,,
883,1,2,,,,
883,2,2,,,,
883,3,2,,,,
886,1,2,20.99,17.42,58.48,60.39
886,2,2,20.76,17.34,61.77,62.33
886,3,2,20.54,18.56,56.41,63.12
887,1,2,20.1,20.56,58.26,57.68
887,2,2,18.33,20.52,55.83,59.31
887,3,2,19.18,18.71,59.27,55.44
888,1,2,24.33,22.04,57.25,59.51
888,2,2,22.96,22.41,60.43,59.07
888,3,2,25.68,23.25,59.21,57.24
889,1,2,22.48,20.37,59.2,58.24
889,2,2,19.74,21.95,56.97,59
889,3,2,22,22.84,52.49,55.92
890,1,2,27.57,24.87,59.97,62.63
890,2,2,21.96,22.64,58.83,61.18
890,3,2,20.96,23.17,59.96,58.28
893,1,2,21.7,25.18,55.63,59.14
893,2,2,21.42,23.72,51.17,58.81
893,3,2,24.92,25.52,53.81,59.72
894,1,2,21.22,24.96,52.11,56.35
894,2,2,22.91,21.63,53.92,54.87
894,3,2,23.41,23.15,55.03,52.33
895,1,2,20.32,21.98,57.41,57.59
895,2,2,19.96,25.58,61.68,56.05
895,3,2,21.47,22.48,56.94,52.23
898,1,2,22.41,21.52,57.27,56.31
898,2,2,23.72,21.3,55.02,57.92
898,3,2,24.44,21.81,59.14,57.17
899,1,2,25.57,22.63,58.15,51.96
899,2,2,22.95,25.62,54.77,60.26
899,3,2,25.95,22.21,54.55,58.81
900,1,2,21.38,19.99,56.93,58.19
900,2,2,23.05,19.47,57.47,57.36
900,3,2,23.4,22.15,60.47,56.89
903,1,2,24.13,23.87,50.59,57.34
903,2,2,22.83,21.28,55.1,52.66
903,3,2,22.58,21.56,54.01,49.89
904,1,2,26.73,23.23,56.43,53.99
904,2,2,23.62,22.84,52.07,56.64
904,3,2,20.8,24.93,53.86,53.98
907,1,2,25.47,21.15,58,53.32
907,2,2,23.7,21.62,55.2,57.8
907,3,2,23.12,23.04,59.7,55.04
910,1,2,19.49,20.05,54.41,57.82
910,2,2,21.42,22.05,59.86,58.2
910,3,2,23.77,21.6,59.09,52.5