ID,repeats,experimental_replicate,control-ecuatorial,control-polar,TM-ecuatorial,TM-polar
568,1,1,5.535,5.753,1.302,1.261
568,2,1,6.023,5.737,1.197,1.27
568,3,1,6.273,6.44,1.308,1.272
1058,1,1,5.324,5.34,0.916,0.96
1058,2,1,5.317,5.182,1.229,1.18
1058,3,1,5.402,5.211,1.151,1.093
1059,1,1,6.403,6.742,0.956,0.941
1059,2,1,6.975,6.354,0.943,0.832
1059,3,1,6.532,7.154,0.926,0.8
1064,1,1,5.192,5.126,0.839,0.79
1064,2,1,4.855,5.08,0.843,0.836
1064,3,1,5.213,4.946,0.859,0.911
1066,1,1,6.34,6.568,1.084,0.995
1066,2,1,6.08,6.542,1.167,1.005
1066,3,1,6.711,6.066,0.956,0.877
1070,1,1,6.274,6.222,1.455,1.507
1070,2,1,6.09,6.354,1.447,1.447
1070,3,1,5.934,6.301,1.481,1.566
1071,1,1,6.156,5.992,1.566,1.515
1071,2,1,6.798,6.898,1.372,1.348
1071,3,1,6.864,6.796,1.407,1.468
1072,1,1,6.661,6.661,1.147,1.134
1072,2,1,6.859,6.585,1.014,1.119
1072,3,1,6.663,6.506,1.373,1.44
1113,1,1,6.355,6.307,1.526,1.316
1113,2,1,5.975,6.042,1.518,1.221
1113,3,1,6.29,6.29,1.328,1.235
1115,1,1,5.874,5.924,1.258,1.125
1115,2,1,6.052,6.061,1.096,1.096
1115,3,1,5.676,5.898,0.97,0.952
1122,1,1,5.761,5.895,1.24,1.24
1122,2,1,5.866,5.866,1.231,1.284
1122,3,1,5.752,5.692,1.239,1.16
1123,1,1,6.597,6.668,1.23,1.067
1123,2,1,6.632,6.528,1.528,1.518
1123,3,1,6.772,6.829,1.321,1.149
1124,1,1,6.254,6.254,1.517,1.462
1124,2,1,6.14,6.209,1.435,1.506
1124,3,1,6.376,6.161,1.538,1.561
1126,1,1,6.469,6.671,1.103,1.103
1126,2,1,6.118,6.33,1.535,1.387
1126,3,1,6.636,6.53,1.287,1.338
1127,1,1,5.334,5.623,1.449,1.308
1127,2,1,5.87,6.135,1.453,1.453
1127,3,1,5.794,5.595,1.424,1.325
1382,1,1,6.265,5.929,1.53,1.272
1382,2,1,6.049,6.2,1.244,1.177
1382,3,1,6.143,6.04,1.285,1.455
1384,1,1,5.921,5.304,1.176,1.033
1384,2,1,4.946,4.858,0.974,1.089
1384,3,1,5.316,4.999,0.965,0.965
1385,1,1,6.138,5.905,1.184,1.268
1385,2,1,6.096,6.373,1.418,1.297
1385,3,1,5.94,6.303,1.243,1.492
1387,1,1,6.241,6.303,1.417,1.61
1387,2,1,6.437,6.689,1.57,1.606
1387,3,1,6.568,6.137,1.548,1.517
1388,1,1,6.43,6.417,1.242,1.197
1388,2,1,6.705,6.635,1.572,1.358
1388,3,1,6.636,6.607,1.724,1.624
1389,1,1,6.361,6.275,1.198,1.256
1389,2,1,6.27,6.166,1.387,1.609
1389,3,1,6.479,6.349,1.647,1.673
1390,1,1,5.743,6.087,1.687,1.601
1390,2,1,5.033,4.762,1.676,1.745
1390,3,1,5.648,5.622,1.554,1.465
1391,1,1,6.575,6.279,1.614,1.45
1391,2,1,6.596,6.694,1.684,1.624
1391,3,1,6.088,6.808,1.489,1.527
1501,1,1,5.326,5.639,1.202,1.202
1501,2,1,5.728,5.186,1.325,1.325
1501,3,1,5.664,5.427,1.385,1.398
1503,1,1,5.38,5.342,1.408,1.296
1503,2,1,5.479,5.744,1.451,1.335
1503,3,1,5.737,5.721,1.311,1.316
1506,1,1,4.938,4.715,1.147,1.082
1506,2,1,4.95,5.016,1.361,1.24
1506,3,1,4.936,5.156,1.231,1.226
1520,1,1,6.426,6.175,1.125,1.072
1520,2,1,6.248,6.212,1.05,0.954
1520,3,1,6.01,6.15,1.034,0.907
1522,1,1,5.563,5.54,1.086,1.062
1522,2,1,6.082,6.267,1.065,1.065
1522,3,1,6.338,6.243,1.171,1
1530,1,1,5.947,5.997,1.437,1.418
1530,2,1,5.783,5.738,1.414,1.541
1530,3,1,6.144,5.755,1.352,1.416
1533,1,1,5.836,5.738,1.478,1.39
1533,2,1,6.239,5.777,1.432,1.391
1533,3,1,5.587,5.66,1.477,1.477
1537,1,1,5.563,5.637,1.342,1.316
1537,2,1,5.549,5.549,1.21,1.359
1537,3,1,5.744,5.533,1.427,1.415
1680,1,1,5.467,5.872,1.203,1.188
1680,2,1,5.721,5.357,1.436,1.363
1680,3,1,5.596,5.473,0.964,0.948
1710,1,1,6.249,6.036,1.178,1.178
1710,2,1,6.036,5.977,1.255,1.293
1710,3,1,6.107,6.307,1.242,1.271
1739,1,1,5.435,5.384,1.023,0.955
1739,2,1,5.443,5.375,1.261,1.072
1739,3,1,6.163,5.923,1.045,1.237
1746,1,1,6.724,6.587,1.31,1.31
1746,2,1,6.726,6.745,1.183,1.187
1746,3,1,6.613,6.411,1.294,1.274
1751,1,1,5.749,5.749,1.211,1.27
1751,2,1,6.216,6.275,1.186,1.089
1751,3,1,6.262,6.262,0.994,0.978
1763,1,1,5.999,6.162,1.307,1.307
1763,2,1,6.168,5.988,1.419,1.537
1763,3,1,6.133,6.085,1.49,1.441
1769,1,1,5.4,5.383,1.414,1.414
1769,2,1,5.664,5.743,1.413,1.413
1769,3,1,5.549,5.849,1.316,1.316
1775,1,1,6.497,6.497,1.345,1.181
1775,2,1,6.473,6.513,1.31,1.315
1775,3,1,6.864,6.864,1.349,1.406
1961,1,1,5.948,5.633,1.433,1.267
1961,2,1,5.818,5.6,1.143,1.143
1961,3,1,6.001,5.968,1.44,1.552
1962,1,1,6.158,6.095,1.381,1.38
1962,2,1,6.452,6.635,1.289,1.115
1962,3,1,6.3,6.421,,
1965,1,1,5.952,5.952,1.564,1.564
1965,2,1,6.102,5.886,1.636,1.464
1965,3,1,5.951,6.126,1.462,1.462
1967,1,1,5.705,5.785,1.268,1.215
1967,2,1,5.84,5.964,1.26,1.263
1967,3,1,5.871,5.769,1.425,1.568
1968,1,1,5.442,5.794,1.269,1.681
1968,2,1,6.043,5.626,1.33,1.266
1968,3,1,5.714,5.708,1.117,1.246
1969,1,1,5.442,5.848,1.429,1.315
1969,2,1,6.02,5.624,1.155,1.235
1969,3,1,6.282,5.854,1.396,1.389
2382,1,1,6.691,6.682,1.221,1.2
2382,2,1,6.504,6.627,1.327,1.235
2382,3,1,6.451,6.456,1.187,1.178
2386,1,1,6.779,6.313,1.648,1.579
2386,2,1,6.282,6.406,1.516,1.641
2386,3,1,6.342,6.465,1.516,1.515
2570,1,1,6.376,6.315,1.067,1.014
2570,2,1,5.604,6.221,1.047,0.989
2570,3,1,5.96,5.933,0.86,0.825
2571,1,1,5.697,5.969,1.039,1.039
2571,2,1,6.404,5.783,1.045,1.045
2571,3,1,5.881,5.796,1.042,0.981
2572,1,1,6.049,6.409,1.045,1.114
2572,2,1,6.369,6.295,1.192,1.13
2572,3,1,6.22,6.085,1.257,1.192
2573,1,1,6.455,6.225,0.986,1.039
2573,2,1,6.253,6.312,0.938,0.936
2573,3,1,6.354,6.239,0.886,0.766
568,1,2,5.535,5.753,1.348,1.268
568,2,2,6.023,5.737,1.268,1.214
568,3,2,6.273,6.44,1.458,1.352
1058,1,2,5.324,5.34,1.245,1.041
1058,2,2,5.317,5.182,1.03,0.987
1058,3,2,5.402,5.211,1.233,1.011
1059,1,2,6.403,6.742,1.035,0.953
1059,2,2,6.975,6.354,0.951,0.951
1059,3,2,6.532,7.154,,
1064,1,2,5.192,5.126,0.746,0.831
1064,2,2,4.855,5.08,0.962,0.906
1064,3,2,5.213,4.946,0.816,0.835
1066,1,2,6.34,6.568,1.024,0.916
1066,2,2,6.08,6.542,0.916,0.918
1066,3,2,6.711,6.066,0.954,0.881
1070,1,2,6.274,6.222,1.544,1.441
1070,2,2,6.09,6.354,1.51,1.537
1070,3,2,5.934,6.301,1.299,1.237
1071,1,2,6.156,5.992,0.867,0.973
1071,2,2,6.798,6.898,1.033,0.855
1071,3,2,6.864,6.796,1.254,1.128
1072,1,2,6.661,6.661,1.574,1.574
1072,2,2,6.859,6.585,1.331,1.262
1072,3,2,6.663,6.506,1.249,1.073
1113,1,2,6.355,6.307,1.579,1.579
1113,2,2,5.975,6.042,1.26,1.326
1113,3,2,6.29,6.29,,
1115,1,2,5.874,5.924,1.171,1.085
1115,2,2,6.052,6.061,1.19,1.105
1115,3,2,5.676,5.898,0.984,0.945
1122,1,2,5.761,5.895,1.049,1.027
1122,2,2,5.866,5.866,1.289,1.301
1122,3,2,5.752,5.692,1.277,1.366
1123,1,2,6.597,6.668,1.369,1.355
1123,2,2,6.632,6.528,1.411,1.325
1123,3,2,6.772,6.829,1.41,1.34
1124,1,2,6.254,6.254,1.273,1.097
1124,2,2,6.14,6.209,1.315,1.315
1124,3,2,6.376,6.161,1.587,1.62
1126,1,2,6.469,6.671,1.385,1.385
1126,2,2,6.118,6.33,1.521,1.477
1126,3,2,6.636,6.53,1.159,1.387
1127,1,2,5.334,5.623,1.159,1.159
1127,2,2,5.87,6.135,1.255,1.255
1127,3,2,5.794,5.595,1.401,1.236
1382,1,2,6.265,5.929,1.274,1.406
1382,2,2,6.049,6.2,1.43,1.43
1382,3,2,6.143,6.04,1.451,1.494
1384,1,2,5.921,5.304,1.2,1.2
1384,2,2,4.946,4.858,1.132,1.285
1384,3,2,5.316,4.999,1.194,1.321
1385,1,2,6.138,5.905,1.39,1.388
1385,2,2,6.096,6.373,1.411,1.411
1385,3,2,5.94,6.303,1.705,1.682
1387,1,2,6.241,6.303,1.137,1.137
1387,2,2,6.437,6.689,1.662,1.532
1387,3,2,6.568,6.137,1.524,1.624
1388,1,2,6.43,6.417,1.532,1.532
1388,2,2,6.705,6.635,1.319,1.578
1388,3,2,6.636,6.607,1.578,1.387
1389,1,2,6.361,6.275,1.523,1.524
1389,2,2,6.27,6.166,1.367,1.286
1389,3,2,6.479,6.349,1.277,1.254
1390,1,2,5.743,6.087,1.277,1.244
1390,2,2,5.033,4.762,1.08,1.112
1390,3,2,5.648,5.622,1.459,1.392
1391,1,2,6.575,6.279,1.473,1.377
1391,2,2,6.596,6.694,1.572,1.469
1391,3,2,6.088,6.808,1.516,1.339
1501,1,2,5.326,5.639,1.34,1.34
1501,2,2,5.728,5.186,1.421,1.286
1501,3,2,5.664,5.427,1.146,0.996
1503,1,2,5.38,5.342,1.433,1.294
1503,2,2,5.479,5.744,1.759,1.554
1503,3,2,5.737,5.721,1.209,1.206
1506,1,2,4.938,4.715,0.858,0.927
1506,2,2,4.95,5.016,1.089,1.016
1506,3,2,4.936,5.156,1.24,1.261
1520,1,2,6.426,6.175,0.999,0.954
1520,2,2,6.248,6.212,0.958,1.032
1520,3,2,6.01,6.15,1.064,1.077
1522,1,2,5.563,5.54,0.999,0.954
1522,2,2,6.082,6.267,0.958,1.032
1522,3,2,6.338,6.243,1.064,1.077
1530,1,2,5.947,5.997,1.288,1.313
1530,2,2,5.783,5.738,1.24,1.297
1530,3,2,6.144,5.755,1.439,1.391
1533,1,2,5.836,5.738,1.471,1.471
1533,2,2,6.239,5.777,1.382,1.431
1533,3,2,5.587,5.66,1.455,1.636
1537,1,2,5.563,5.637,1.291,1.109
1537,2,2,5.549,5.549,1.416,1.435
1537,3,2,5.744,5.533,1.411,1.322
1680,1,2,5.467,5.872,1.203,1.188
1680,2,2,5.721,5.357,1.436,1.363
1680,3,2,5.596,5.473,0.964,0.948
1710,1,2,6.249,6.036,1.134,1.011
1710,2,2,6.036,5.977,1.177,1.171
1710,3,2,6.107,6.307,1.273,1.273
1739,1,2,5.435,5.384,1.064,1.092
1739,2,2,5.443,5.375,1.044,0.942
1739,3,2,6.163,5.923,,
1746,1,2,6.724,6.587,1.311,1.252
1746,2,2,6.726,6.745,1.29,1.169
1746,3,2,6.613,6.411,1.318,1.397
1751,1,2,5.749,5.749,0.979,0.911
1751,2,2,6.216,6.275,1.276,1.328
1751,3,2,6.262,6.262,1.051,0.88
1763,1,2,5.999,6.162,1.206,1.347
1763,2,2,6.168,5.988,1.353,1.353
1763,3,2,6.133,6.085,1.585,1.585
1769,1,2,5.4,5.383,1.482,1.284
1769,2,2,5.664,5.743,1.126,1.08
1769,3,2,5.549,5.849,1.431,1.431
1775,1,2,6.497,6.497,1.165,1.165
1775,2,2,6.473,6.513,1.396,1.177
1775,3,2,6.864,6.864,1.286,1.135
1961,1,2,5.948,5.633,1.545,1.356
1961,2,2,5.818,5.6,1.386,1.289
1961,3,2,6.001,5.968,1.283,1.275
1962,1,2,6.158,6.095,1.35,1.46
1962,2,2,6.452,6.635,1.399,1.378
1962,3,2,6.3,6.421,1.55,1.545
1965,1,2,5.952,5.952,1.517,1.518
1965,2,2,6.102,5.886,1.372,1.345
1965,3,2,5.951,6.126,1.626,1.53
1967,1,2,5.705,5.785,1.313,1.313
1967,2,2,5.84,5.964,1.328,1.302
1967,3,2,5.871,5.769,1.366,1.366
1968,1,2,5.442,5.794,1.053,0.962
1968,2,2,6.043,5.626,1.169,1.334
1968,3,2,5.714,5.708,1.265,1.246
1969,1,2,5.442,5.848,1.29,1.186
1969,2,2,6.02,5.624,1.186,1.228
1969,3,2,6.282,5.854,1.166,1.2
2382,1,2,6.691,6.682,1.364,1.249
2382,2,2,6.504,6.627,1.261,1.101
2382,3,2,6.451,6.456,1.013,1.051
2386,1,2,6.779,6.313,1.649,1.607
2386,2,2,6.282,6.406,1.411,1.54
2386,3,2,6.342,6.465,1.62,1.698
2570,1,2,6.376,6.315,0.959,0.989
2570,2,2,5.604,6.221,0.997,1.037
2570,3,2,5.96,5.933,1.198,1.099
2571,1,2,5.697,5.969,1.058,1.108
2571,2,2,6.404,5.783,1.109,1.077
2571,3,2,5.881,5.796,1.077,1.021
2572,1,2,6.049,6.409,1.313,1.261
2572,2,2,6.369,6.295,1.117,1.071
2572,3,2,6.22,6.085,1.187,1.145
2573,1,2,6.455,6.225,1.007,1.007
2573,2,2,6.253,6.312,1.014,1.118
2573,3,2,6.354,6.239,1.014,0.978
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,