ID,repeats,experimental_replicate,picoxystrobin-ecuatorial,picoxystrobin-polar,sham-ecuatorial,sham-polar
461,1,1,27.66,30.07,41.46,43.17
461,2,1,25.85,28.57,40.45,40.09
461,3,1,28.64,30.73,36.42,35
461,1,1,32.84,32.77,45.81,44.88
461,2,1,30.98,32.39,44.02,42.69
461,3,1,33.81,31.21,43.54,42.95
461,1,1,34.27,34.57,46.73,47.54
461,2,1,33.67,32.8,44.46,44.36
461,3,1,32.97,34.03,46.23,49.56
461,1,1,31.59,30.72,40.89,43.54
461,2,1,28.85,26.97,44.71,44.34
461,3,1,29.32,30.79,41.77,41.02
461,1,1,30.92,30.1,46.46,47.93
461,2,1,28.85,29.29,47.37,45.84
461,3,1,29.67,30.53,45.63,45.39
700,1,1,32.78,33.23,52.68,52.61
700,2,1,32.88,34.29,49.32,50.2
700,3,1,33.18,32.29,46.86,46.77
701,1,1,36.42,36.33,52.52,52.52
701,2,1,35.05,37.49,50.14,51.87
701,3,1,36.71,37.76,51.57,54.74
702,1,1,38.53,38.91,53.16,51.99
702,2,1,39.22,38.92,53.78,54.56
702,3,1,38.61,39.76,52.4,52.77
703,1,1,40.72,39.68,52.9,52.3
703,2,1,40.34,40.16,48.65,48.94
703,3,1,36.73,39.73,,
704,1,1,31.97,34.47,47.82,47.77
704,2,1,34.04,34.82,45.31,47.96
704,3,1,33.05,33.81,48.29,48.04
705,1,1,33.76,34.63,45.73,48.41
705,2,1,34.38,33.54,44.43,45.77
705,3,1,33.87,34.07,45.49,45.08
706,1,1,37.79,35.39,45.9,44.57
706,2,1,37.34,36.64,48.29,47.12
706,3,1,36.33,36.76,49.51,47.87
707,1,1,35.62,36.12,54.16,54.98
707,2,1,35.82,34.92,54.98,53.65
707,3,1,34.23,34.92,52.64,52.1
708,1,1,35.63,36.3,48.53,50.7
708,2,1,37.38,38.71,51.97,52.02
708,3,1,37.52,36.61,51.86,51.51
709,1,1,37,36.06,52.76,52.08
709,2,1,39.04,37.87,53.35,52.41
709,3,1,37.6,38.13,55.01,54.31
713,1,1,32.04,32.02,54.5,51.46
713,2,1,35.64,32.13,56.48,55.2
713,3,1,36.85,26.88,55.61,52.17
714,1,1,35.47,36.34,53.68,53.55
714,2,1,37.7,35.48,53.79,52.57
714,3,1,33.66,34.01,55.46,55.07
715,1,1,36.89,35.99,50.02,47.4
715,2,1,34.83,36.27,46.74,47.38
715,3,1,34.96,34.96,51.85,51.28
716,1,1,36.68,35.25,53.32,52.69
716,2,1,35.45,37.17,50.49,53.34
716,3,1,36.13,36.35,53.2,54.93
717,1,1,35.29,35.29,51.9,53.2
717,2,1,34.6,35.03,50.18,50.61
717,3,1,35.14,33.94,49.42,50.31
718,1,1,32.83,32.46,47.46,46.6
718,2,1,34.24,33.39,49.36,48.79
718,3,1,34.57,36.01,48.12,48.34
719,1,1,34.67,34.34,48.31,47.49
719,2,1,34.9,34.52,47.43,46.38
719,3,1,36.02,36.77,46.83,49.38
720,1,1,35.16,36.51,52.22,48.55
720,2,1,35.73,36.45,53.51,51.48
720,3,1,36.64,37.38,45.44,48.72
721,1,1,34.34,34.01,48.48,46.63
721,2,1,32.47,31.82,48.3,49.58
721,3,1,32.72,32.72,47.51,46.96
726,1,1,32.06,32.64,49.54,50.33
726,2,1,34.54,33.17,50.69,50
726,3,1,33.52,32.6,51.08,50.45
727,1,1,34.55,34.11,50.16,48.15
727,2,1,34.05,33.79,53.12,52.13
727,3,1,34.42,31.25,52.79,52.25
728,1,1,35.26,35.15,47.77,48.68
728,2,1,33.6,35.18,48.56,49.32
728,3,1,36.1,37.83,43.85,45.9
729,1,1,36.46,35.57,55.72,54.2
729,2,1,35.35,36.51,54.68,54.36
729,3,1,35.37,35.55,54.1,56.87
730,1,1,34.25,35.66,51.33,53.81
730,2,1,33.37,32.06,51.92,53.25
730,3,1,35.6,35.11,52.46,53.63
733,1,1,35.01,35.18,51.47,48.99
733,2,1,34.27,32.38,51.09,48.86
733,3,1,35.82,34.17,46.97,51.77
734,1,1,38.32,38.74,50.04,51.4
734,2,1,37.92,37.14,50.04,51.9
734,3,1,38.17,38.78,51.74,51.27
735,1,1,36.21,35.94,54.03,51.26
735,2,1,35.49,36.77,52.95,50.65
735,3,1,35.48,35.08,48.34,52.28
736,1,1,35.78,36.48,55.11,55.7
736,2,1,34.58,36,55.76,55.38
736,3,1,36.16,36.85,55.63,55.72
737,1,1,36.72,34.95,57.11,58.98
737,2,1,35.57,38.35,54.2,55.6
737,3,1,37.1,35.51,54.62,55.07
740,1,1,31.75,32.3,51.36,51.02
740,2,1,34.88,33.18,49.81,52.13
740,3,1,31.88,33.45,52.7,53.69
741,1,1,37.69,34.61,53.73,52.2
741,2,1,36.08,34.16,54.86,54.64
741,3,1,37.27,35.81,52.27,52.81
743,1,1,34.87,34.06,53.9,50.52
743,2,1,33.66,34.64,51.66,51.93
743,3,1,34.46,33.52,50.47,51.05
744,1,1,36.76,37.14,54.41,55.74
744,2,1,36.2,36.84,54.8,56.79
744,3,1,38.19,36.86,53.49,54.01
747,1,1,33.67,32.01,50.86,49.76
747,2,1,33.36,32.29,50.9,54.06
747,3,1,29.02,31.76,53.46,52.36
748,1,1,35.53,35.61,48.74,47.64
748,2,1,34.78,35.37,44.74,45.01
748,3,1,35.09,34.75,43.28,44.89
749,1,1,35.51,35.19,46.96,47.58
749,2,1,33.48,35.43,47.64,48.61
749,3,1,34.75,36.62,49.33,48.25
750,1,1,36.06,33.58,47.26,49
750,2,1,32.65,34.32,49.89,50.83
750,3,1,34.09,35.1,52,52.43
752,1,1,33.97,33.13,53.83,53.07
752,2,1,33.47,31.87,51.85,49.76
752,3,1,32.96,32.13,51.54,49.61
753,1,1,33.29,32.77,48.04,47.87
753,2,1,31.39,32.18,47.02,47.65
753,3,1,32.2,29.47,47.62,49.04
754,1,1,36.82,38.19,50.12,52.96
754,2,1,34.86,38.37,53.92,50.79
754,3,1,37.45,36.86,52.59,54.09
758,1,1,31,30.86,50.87,50.56
758,2,1,31.76,32.57,52.21,54.33
758,3,1,33.51,32.92,49.05,48.97
759,1,1,37.14,35.97,54.88,34.48
759,2,1,35.26,34.82,52.5,53.37
759,3,1,34.34,34.86,49.37,51.67
760,1,1,38.42,35.41,53.44,52.03
760,2,1,36.27,35.97,52.82,54.23
760,3,1,36.23,37.82,49.05,52.47
762,1,1,37.83,36.63,51.2,51.79
762,2,1,37.43,36.74,50.67,54.01
762,3,1,36.55,34.52,54.81,55.41
763,1,1,34.2,37.37,53.83,55.45
763,2,1,35.98,35.6,55.43,56.12
763,3,1,35.02,33.68,52.42,55.07
766,1,1,37.77,35.92,53.99,52.2
766,2,1,36.59,35.27,54.81,54.22
766,3,1,37.34,36.69,55.44,52.89
767,1,1,35.04,36.59,52.37,54.78
767,2,1,34.92,35.86,54.13,55.8
767,3,1,36.97,36.57,53.07,52.43
768,1,1,33.12,33.83,47.92,47.8
768,2,1,33.76,33.35,48.94,47.96
768,3,1,32.01,33.86,47.17,49.19
769,1,1,30.59,28.7,43.4,41.12
769,2,1,30.76,31.8,43.96,47.1
769,3,1,32.29,30.38,50.96,50.49
770,1,1,35.71,33.97,51.78,49.55
770,2,1,34.24,35.9,48.83,47.96
770,3,1,32.97,31.1,49.9,48.69
788,1,1,34.53,33.26,52.74,50.68
788,2,1,34.53,35.26,50.45,50.46
788,3,1,34.27,31.83,49.82,50.72
789,1,1,33.48,32.92,51.04,52.52
789,2,1,35.43,35.98,49.44,49.68
789,3,1,33.23,34.06,51.1,52.42
790,1,1,31.94,31.77,45.83,44.84
790,2,1,32.04,31.75,43.54,44.3
790,3,1,33.1,33.01,46.55,46.85
791,1,1,33.05,34.54,50.69,49.15
791,2,1,33.74,33.74,50.01,51.09
791,3,1,31.82,34.38,51.28,51.74
792,1,1,30.06,32.41,51.87,52.28
792,2,1,34.59,32.78,49.96,52.23
792,3,1,33.39,34.78,49.7,49.97
793,1,1,33.14,34.89,46.75,44.75
793,2,1,31.58,30.8,46.61,45.5
793,3,1,31.11,35.94,45.39,46.84
794,1,1,33.33,33.06,52.32,52.81
794,2,1,31.8,32.39,51.48,49.12
794,3,1,31.94,32.64,48.93,52.26
795,1,1,35.36,34.3,49.64,51.27
795,2,1,35.46,35.48,49.99,51.05
795,3,1,34.87,35.69,50.56,51.71
796,1,1,34.77,34.78,51.96,52.38
796,2,1,34.19,35.54,51.02,54.7
796,3,1,33.34,34.97,52.16,52.84
797,1,1,33.07,32.42,50.65,57.06
797,2,1,32.52,35.74,52.65,54.04
797,3,1,33.08,36.04,51.36,56.48
810,1,1,35.08,33.45,52.12,51.02
810,2,1,33.98,33.66,52.56,51.62
810,3,1,33.02,33.91,52.12,53.422
815,1,1,34.32,33.43,51.08,50.08
815,2,1,33.68,34.66,51.92,50.07
815,3,1,31.95,31.23,51.92,52.1
816,1,1,37.38,36.48,49.86,50.65
816,2,1,33.92,33.8,51.3,51.67
816,3,1,33.8,36.2,49.62,51.17
819,1,1,34.48,33.26,49.87,49.29
819,2,1,31.03,32.08,49.4,49.98
819,3,1,33.1,32.81,51.53,52.88
863,1,1,34.92,34.8,48.75,48.58
863,2,1,34.36,34.25,48.05,50.37
863,3,1,34.6,35.6,50.56,47.02
864,1,1,32.08,33.85,46.17,45.51
864,2,1,31.05,31.01,47.41,48.51
864,3,1,31.98,30.7,49.28,47.13
865,1,1,34.52,35.24,49.18,48.68
865,2,1,34.34,34.6,47.4,46.94
865,3,1,36.78,36.72,47.45,48.09
866,1,1,35.87,37.77,51.9,49.05
866,2,1,37.59,39.14,50.87,51.3
866,3,1,35.93,36.06,53.78,54.14
868,1,1,31.77,31.32,46.56,46.84
868,2,1,25.7,27.86,49.89,49.54
868,3,1,30.81,32.06,49.34,47.14
869,1,1,25.4,27.48,41.51,40.12
869,2,1,30.4,39.79,45.28,41.51
869,3,1,24.54,24.7,44.74,40.79
872,1,1,28.3,26.63,46.65,46.78
872,2,1,33.39,32.76,43.71,44.82
872,3,1,32.03,33.21,44.06,40.78
873,1,1,33.41,32.93,48.68,48.12
873,2,1,32.09,32.12,49.51,47.49
873,3,1,34.11,34.67,48.18,50.6
874,1,1,30.88,31.56,49.8,50.2
874,2,1,33.05,32.71,48.33,49.32
874,3,1,33.35,33.06,49.1,48.37
875,1,1,33.33,32.13,49.09,51.55
875,2,1,34.17,34.4,51.01,52.44
875,3,1,34.4,36.41,52.37,53.07
876,1,1,32.34,31.62,46.51,45.13
876,2,1,30.93,30.25,48.25,47.86
876,3,1,31.42,32.31,50.07,51.08
879,1,1,31.54,32.51,53.31,52.37
879,2,1,33.04,33.31,50.92,49.2
879,3,1,33.13,32.56,49.27,48.71
880,1,1,,,,
880,2,1,,,,
880,3,1,,,,
881,1,1,34.6,34.16,50.62,48.56
881,2,1,34.56,33.84,50.14,49.36
881,3,1,32.51,34.38,52.39,51.61
882,1,1,34.46,32.42,48.73,49.8
882,2,1,33.76,34.58,46.83,45.44
882,3,1,35.14,34.79,45.57,47.23
883,1,1,32.59,32.65,51.23,51.76
883,2,1,32.36,33.34,49.13,48.97
883,3,1,34.06,32.52,49.2,51.94
886,1,1,30.77,32.44,52.04,53.07
886,2,1,31.47,31.32,51.09,52.35
886,3,1,32.2,29.3,51.64,51.93
887,1,1,32.22,29.59,52.13,49.89
887,2,1,30.06,27.6,51.94,51.49
887,3,1,32.32,31.03,51.25,47.45
888,1,1,35.43,36.36,51.65,50.02
888,2,1,34.83,32.94,49.39,48.01
888,3,1,35.5,37.42,47.93,48.22
889,1,1,31.39,32.13,49.32,47.52
889,2,1,33.21,32.76,48.51,48.29
889,3,1,30.87,32.75,46.73,47.87
890,1,1,35.47,35.98,55.11,54.5
890,2,1,35.49,33.9,55.69,55.04
890,3,1,36.03,36.47,53.06,54.03
893,1,1,36.04,34.6,52.41,53.36
893,2,1,34.96,34.94,52.07,53.05
893,3,1,34.19,34.72,52.13,53.69
894,1,1,34.79,35.44,51.25,49.63
894,2,1,35.37,34.47,49.51,51.96
894,3,1,34.76,35.39,49.56,49.52
895,1,1,36.19,34.74,54.96,52.61
895,2,1,35.75,35.22,51.46,51.95
895,3,1,36.63,36.42,53.24,53.18
898,1,1,34.66,33.41,48.82,48.56
898,2,1,34.74,35.91,50.48,49.9
898,3,1,34.61,34.26,50.38,50.32
899,1,1,36.16,36.14,53.23,52.49
899,2,1,35.99,37.39,51.66,51.24
899,3,1,36.24,36.31,53.24,55.07
900,1,1,33.68,36.27,49.37,49.49
900,2,1,36.07,35.51,53.36,51.74
900,3,1,33.24,34.37,50.29,49.94
903,1,1,34.13,34.29,48.95,48.88
903,2,1,33.59,34.84,47.08,47.41
903,3,1,34.18,33.7,45.58,47.32
904,1,1,34.97,34.85,52.91,51.77
904,2,1,36.13,35.34,52.28,53.52
904,3,1,34.71,34.99,52.89,54.11
907,1,1,36.54,35.85,53.82,54.44
907,2,1,36.37,35.63,55.65,54.98
907,3,1,35.29,35.56,54.35,54.73
910,1,1,35.62,34.63,51.89,48.65
910,2,1,35.11,35.42,53.87,54.74
910,3,1,36.01,35.76,53.14,54.19
461,1,2,25.33,26.52,40.28,40.7
461,2,2,22.68,21.36,43.25,44.67
461,3,2,24.14,21.26,43.5,45.49
461,1,2,21.59,23.47,39.42,37.18
461,2,2,23.48,24.43,43.36,42.3
461,3,2,24.27,25.69,43.27,45.39
461,1,2,30.83,28.54,47.44,44.42
461,2,2,29.69,26.8,46.57,45.24
461,3,2,30.12,27.2,48.64,48.39
461,1,2,,,,
461,2,2,,,,
461,3,2,,,,
461,1,2,,,,
461,2,2,,,,
461,3,2,,,,
700,1,2,34.59,33.93,53.47,53.06
700,2,2,34.21,34.07,54.25,54.84
700,3,2,35.7,32.85,51.87,52.43
701,1,2,34.42,33.41,56.35,52.29
701,2,2,33.88,33.49,54.38,52.82
701,3,2,33.2,33.6,54.93,52.99
702,1,2,36.31,35.86,55.05,53.45
702,2,2,36.96,36.83,53.03,52.33
702,3,2,34.96,35.26,55.2,53.45
703,1,2,36.69,36.79,52.75,53.95
703,2,2,36.24,35.73,52.42,52.91
703,3,2,35.01,32.46,52.11,52.84
704,1,2,32.03,33.01,53.15,52.24
704,2,2,31,32.62,51.64,52.03
704,3,2,32.3,31.47,49.72,48
705,1,2,33.14,32.52,48.54,47.94
705,2,2,32.4,34.08,50.44,52.13
705,3,2,33.21,34.78,50.17,52.87
706,1,2,34.18,34.23,52.39,53.41
706,2,2,31.54,34.13,52.15,52.58
706,3,2,34.04,34.63,50.07,50.78
707,1,2,35.25,34.34,53.89,53.55
707,2,2,34.44,34.3,53.46,53.21
707,3,2,35.3,34.67,52.35,51.98
708,1,2,34.85,32.66,52.74,52.56
708,2,2,32.15,33.21,50.84,52.07
708,3,2,31.67,31.67,49.97,49.51
709,1,2,34.6,34.3,52.97,51.14
709,2,2,34.85,33.87,51.86,50.79
709,3,2,34.3,35.07,51.11,52.77
713,1,2,33.42,33.08,54.58,56.96
713,2,2,32.61,32.26,54.55,52.63
713,3,2,33.07,34.69,55.02,56.37
714,1,2,31.86,32.96,52.18,51.97
714,2,2,35.15,34.15,51.47,52.37
714,3,2,31.84,33.86,53.59,54.1
715,1,2,35.19,35.49,53.6,51.59
715,2,2,35.75,34.93,53.73,51.65
715,3,2,34.63,35.25,54.98,53.29
716,1,2,37.9,35.7,50.39,49.55
716,2,2,37.5,36.36,49.91,51.86
716,3,2,36.91,36.28,47.98,51.05
717,1,2,35.41,34.93,54.8,54.53
717,2,2,34.33,37.62,52.26,54.55
717,3,2,35.33,32.3,54.3,55.14
718,1,2,30.51,30.09,52.14,53.61
718,2,2,29.13,30.14,50.52,53.01
718,3,2,30.86,31.63,49.2,50.39
719,1,2,32.94,34.5,50.05,49.55
719,2,2,35.98,34.46,52.59,51.78
719,3,2,32.49,34.04,47.82,47
720,1,2,33.17,33.21,51.04,53.6
720,2,2,33.46,34.34,52.48,53.54
720,3,2,35.17,34.46,53,53.96
721,1,2,36.9,34.36,51.99,53.48
721,2,2,35.63,37.49,51.62,52.77
721,3,2,36,38.35,54.53,54.41
726,1,2,30.75,31.52,51.17,50.71
726,2,2,31.88,32.25,51.05,53.64
726,3,2,32.33,32.54,51.7,49.95
727,1,2,33.46,32.08,53.78,56.74
727,2,2,33.8,32.76,51.5,52.12
727,3,2,32.83,32.24,51.45,54.84
728,1,2,35.92,34.74,47.52,47.13
728,2,2,32.05,31.1,47.54,48.39
728,3,2,33.31,34.84,47.87,46.75
729,1,2,31.49,32.3,52.39,55.36
729,2,2,34.33,34.26,54.99,54.85
729,3,2,33.49,32.94,57.41,54.7
730,1,2,32.65,30.83,50.8,50.37
730,2,2,32.81,31.27,51.7,52.57
730,3,2,32.64,29.83,50.98,49.19
733,1,2,34.1,33.06,56.94,55.55
733,2,2,35.73,34.99,55.93,55.86
733,3,2,34.79,33.95,56.96,53.04
734,1,2,33.28,35.48,48.56,47.11
734,2,2,33.04,37.61,48.54,47.86
734,3,2,35.62,33.64,50.06,48.84
735,1,2,31.71,32.8,49.8,52.11
735,2,2,32.97,34.87,47.71,48.62
735,3,2,30.49,32.69,50.78,50.61
736,1,2,32.97,33.45,49.74,49.12
736,2,2,31.34,33.73,52.83,51.95
736,3,2,33.91,32.62,53.42,54.04
737,1,2,31.42,31.22,54.4,53.83
737,2,2,29.59,33.77,52.34,54.01
737,3,2,32.86,33.42,52.12,53.92
740,1,2,29.4,34.03,51.49,53.89
740,2,2,31.89,34.04,53.89,53.9
740,3,2,30.61,33.43,55.12,56.38
741,1,2,31.95,35.56,50.08,55.72
741,2,2,31.22,34.08,52.36,56.86
741,3,2,31.44,34,53.69,54.46
743,1,2,27.81,27.26,50.05,51.91
743,2,2,30.25,27.72,46.46,48.97
743,3,2,28.37,26.77,50.44,50.41
744,1,2,31.73,33.47,54.5,56.25
744,2,2,31.41,33.96,56.32,54.07
744,3,2,31.69,34.4,55.16,53.65
747,1,2,28.9,27.88,43.32,47.3
747,2,2,30.63,31.59,48.14,50.58
747,3,2,29.1,27.96,46.63,50.57
748,1,2,35.16,32.16,50.04,52.08
748,2,2,35.03,32.6,49.64,54.18
748,3,2,34.49,33.31,54.04,49.36
749,1,2,36.65,36.01,49.01,50.19
749,2,2,37.78,36.66,50.3,48.97
749,3,2,36.63,36.03,50.86,51.09
750,1,2,36.12,31.85,56.19,54.35
750,2,2,34.98,33.57,52.66,51.33
750,3,2,36.28,35.93,54.71,52.85
752,1,2,30.49,27.97,47.98,47.84
752,2,2,31.71,29.41,49.77,51.38
752,3,2,28.56,30.5,52.64,53.44
753,1,2,36.86,36.57,50.12,47.82
753,2,2,36.86,34.05,50.3,51.66
753,3,2,32.54,32.35,45.65,48.5
754,1,2,33.19,33.32,52.37,50.01
754,2,2,33.98,31.87,50.59,48.64
754,3,2,34.41,33.88,51.25,49.45
758,1,2,36.25,33.06,53.8,52.46
758,2,2,32.67,33.02,56.6,53.9
758,3,2,32.67,31.25,57.02,56.37
759,1,2,34.11,35.01,55.62,55.89
759,2,2,36.33,35.16,58.1,54.24
759,3,2,36.7,35.69,56.82,55.2
760,1,2,34.7,31.37,53.99,52.6
760,2,2,36.06,34.06,59.15,54.46
760,3,2,32.1,29.28,57.68,53.5
762,1,2,32.22,29.72,53.83,53.33
762,2,2,31.66,29.9,50.4,51.72
762,3,2,33.44,31.4,50.86,47.25
763,1,2,37.09,34.24,58.01,54.91
763,2,2,37.66,34.05,57.6,56.65
763,3,2,34.79,35.32,54.09,56.4
766,1,2,37.41,39.32,52.36,54.18
766,2,2,38.69,34.9,53.57,56.07
766,3,2,37.79,39,56.59,56.36
767,1,2,37.56,36.42,49.94,49.56
767,2,2,35.36,35.24,49.2,51.43
767,3,2,34.87,34.24,52.74,53.35
768,1,2,27.93,28.6,45.33,48.45
768,2,2,31.9,30.37,47.68,49.92
768,3,2,28.4,31.66,52.12,49.73
769,1,2,29.79,30.25,49.24,51.44
769,2,2,29.79,31.63,50.9,52.54
769,3,2,28.84,31.02,52.82,52.41
770,1,2,34.78,34.23,46.83,48.48
770,2,2,33.95,32.47,48.06,49.1
770,3,2,34.2,34.27,47.62,48.73
788,1,2,31.25,31.13,50.6,48.83
788,2,2,32.54,33.25,50.32,50.78
788,3,2,33.87,34.13,47.48,47.93
789,1,2,,,,
789,2,2,,,,
789,3,2,,,,
790,1,2,21.02,23.45,47.71,48.29
790,2,2,25.31,26.67,45.82,48.59
790,3,2,27.23,28.54,44.27,41.91
791,1,2,27.66,30.64,46.86,50.2
791,2,2,32,32.95,48.48,50.39
791,3,2,33.08,33.08,48.58,50.18
792,1,2,15.72,16.06,44.33,40.93
792,2,2,14.85,13.96,48.15,49.57
792,3,2,16.54,20.11,49.77,48.56
793,1,2,20.84,21.41,39.4,42.41
793,2,2,18.18,20.04,43.82,43.23
793,3,2,29.39,30.89,41.26,45.03
794,1,2,30.48,28.74,47.01,49.65
794,2,2,30.14,33.81,45.49,48.51
794,3,2,27.88,29.32,48.94,50.13
795,1,2,25.66,27.87,42.13,44.22
795,2,2,24.05,26.02,49.48,51.46
795,3,2,20.34,21.65,50.14,50.73
796,1,2,31.8,30.73,48.33,51.8
796,2,2,30.15,26.82,50.22,51.93
796,3,2,30.67,31.89,43.38,45.27
797,1,2,18.92,24.78,48.87,49.15
797,2,2,22.32,25.7,54.35,55.23
797,3,2,24.22,28.17,50.22,52.2
810,1,2,35.29,34.02,56.09,55.4
810,2,2,33.34,32.98,50.93,51.81
810,3,2,32.88,32.32,48.28,47.13
815,1,2,35.55,34.06,51.06,46.75
815,2,2,33.78,35.11,50.12,52.81
815,3,2,34.08,35.51,48.21,49.23
816,1,2,35.26,35.6,48.12,51.97
816,2,2,36.87,36.16,51.6,50.78
816,3,2,35.95,34.61,50.73,51.26
819,1,2,35.11,33.18,49.34,49.63
819,2,2,34.66,33.02,51.32,51.9
819,3,2,34,33.91,49.58,47.97
863,1,2,31.75,36.3,52.77,51.6
863,2,2,34.3,35.06,55.45,52.86
863,3,2,35.56,32.42,51.62,52.71
864,1,2,18.44,18.22,46.44,47.32
864,2,2,25.82,25.56,48.39,47.65
864,3,2,27.03,24.8,43.32,46.59
865,1,2,31.36,34.24,45.69,48.13
865,2,2,33.59,32.07,48.23,50.74
865,3,2,30.98,31.58,47.85,46.57
866,1,2,31.14,33.53,50.41,48.02
866,2,2,30.24,32.5,51.56,49.74
866,3,2,30.96,33.35,47.48,48.82
868,1,2,30.16,28.48,49.99,51.13
868,2,2,26.48,30.38,49.26,47.22
868,3,2,27.66,28.74,46.8,46.13
869,1,2,23.92,21.87,44.62,45.9
869,2,2,21.81,22.85,45.24,45.49
869,3,2,26.48,28.51,44.93,47.65
872,1,2,28.19,27.22,47.81,47.11
872,2,2,28.81,29.71,47.6,46.99
872,3,2,29.25,31.08,47.03,49.53
873,1,2,18.91,20.07,43.75,45.53
873,2,2,22.77,24.41,44.76,45.51
873,3,2,27.31,30.18,39.71,40.46
874,1,2,,,,
874,2,2,,,,
874,3,2,,,,
875,1,2,33.46,32.73,49.86,48.71
875,2,2,32.42,33.11,50.91,49.69
875,3,2,30.4,29.3,47.62,47.4
876,1,2,,,,
876,2,2,,,,
876,3,2,,,,
879,1,2,29.85,31.67,50.95,52.6
879,2,2,30.39,30.32,51.67,51.02
879,3,2,30.24,32.2,50.86,53.72
880,1,2,,,,
880,2,2,,,,
880,3,2,,,,
881,1,2,33.67,32.7,54.8,54.16
881,2,2,30.82,32.16,56.79,54.43
881,3,2,31.09,34.14,53.3,54.44
882,1,2,33.89,34.58,54.26,55.61
882,2,2,33.84,32.8,51.36,52.99
882,3,2,33.78,32.53,52.16,50.08
883,1,2,,,,
883,2,2,,,,
883,3,2,,,,
886,1,2,,,,
886,2,2,,,,
886,3,2,,,,
887,1,2,30.38,30.56,51.92,52.42
887,2,2,30.75,31.23,54.75,53.58
887,3,2,30.99,31.75,53.03,52.95
888,1,2,34.48,35.72,56.58,56.19
888,2,2,34.49,37.07,55.5,56.02
888,3,2,37.57,34.84,56.02,56.09
889,1,2,30.91,31.69,47.94,51.01
889,2,2,30.85,32.14,51.41,50.81
889,3,2,33.23,32.28,51.33,50.91
890,1,2,37.06,38.78,59.39,60.53
890,2,2,39.36,36.85,59.67,59.87
890,3,2,38.59,36.86,59,58.85
893,1,2,32.04,33.66,47.07,49.53
893,2,2,30.43,31.66,46.17,47.81
893,3,2,32.42,33.95,49.09,47.51
894,1,2,32.23,36.31,53.32,53.23
894,2,2,35.43,32.17,53.15,54.39
894,3,2,36.1,32.53,54.63,53.04
895,1,2,33.91,36.62,54.29,55.06
895,2,2,33.48,33.2,54.71,54.08
895,3,2,34.77,35.15,53.62,54.42
898,1,2,36.27,36.44,57.17,57.33
898,2,2,36.46,34.52,57.06,54.21
898,3,2,33.54,36.96,55.06,54.94
899,1,2,34.55,32.95,50.64,49.76
899,2,2,30.68,27.92,54.49,54.01
899,3,2,31.94,31.12,54.49,53.71
900,1,2,32.37,32.37,53.46,51.6
900,2,2,32.85,31.49,52.31,52.57
900,3,2,34.09,31.09,54.72,54.3
903,1,2,33.52,32.58,49.96,50.33
903,2,2,31.28,33.36,49.52,50.21
903,3,2,31.94,30.66,45.24,46.44
904,1,2,32.57,32.23,52.47,52.77
904,2,2,31.5,32.65,49.8,50.36
904,3,2,31.6,32.22,50.72,52.7
907,1,2,32.5,32.83,51.22,52.28
907,2,2,36.43,35.31,52.9,50.79
907,3,2,31.74,34.39,51.82,52.78
910,1,2,31.09,30.18,51.88,51.31
910,2,2,31.74,29.51,51.72,51.8
910,3,2,32.61,31.38,50.73,51.15