Isolate_ID,Treatment,Rep,Radial_growth1 (mm),Radial_growth2 (mm),Notes
461,Control,1,48.18,48.97,
461,Control,2,48.38,50.42,
461,Control,3,53.66,51.62,
461,0.2 ppm,1,15.81,17.33,
461,0.2 ppm,2,16.89,16.58,
461,0.2 ppm,3,17.2,16.62,
700,Control,1,57.73,56.27,
700,Control,2,54.29,55.75,
700,Control,3,52.19,49.31,
700,0.2 ppm,1,18.85,19.96,
700,0.2 ppm,2,20.26,20,
700,0.2 ppm,3,20.55,20.76,
712,Control,1,58.15,56.27,
712,Control,2,56.49,54.68,
712,Control,3,56.72,57.78,
712,0.2 ppm,1,24.93,21.34,
712,0.2 ppm,2,21.12,22.26,
712,0.2 ppm,3,21.33,17.91,
717,Control,1,52.35,53.78,
717,Control,2,50.27,50.62,
717,Control,3,51.82,52.16,
717,0.2 ppm,1,24.12,26.54,
717,0.2 ppm,2,24.23,23.69,
717,0.2 ppm,3,22.41,23.2,
726,Control,1,55.72,55.07,
726,Control,2,55.29,57.34,
726,Control,3,59.54,55.75,
726,0.2 ppm,1,21.71,23.2,
726,0.2 ppm,2,22.09,23.12,
726,0.2 ppm,3,23.12,23.79,
733,Control,1,58.82,59.4,
733,Control,2,60.46,56.21,
733,Control,3,55.99,52.74,
733,0.2 ppm,1,22.52,23.45,
733,0.2 ppm,2,23.88,20.23,
733,0.2 ppm,3,24.98,24.67,
740,Control,1,53.02,57.23,
740,Control,2,46.49,53.02,
740,Control,3,53.43,54.99,Indent
740,0.2 ppm,1,21.02,21.89,
740,0.2 ppm,2,22.24,26.35,
740,0.2 ppm,3,23.53,23.45,Weird
747,Control,1,57.93,59.15,
747,Control,2,57.18,54.25,
747,Control,3,52.29,54.31,
747,0.2 ppm,1,18.14,17.67,
747,0.2 ppm,2,18.44,17.28,
747,0.2 ppm,3,19.28,21.31,
752,Control,1,58.75,58.37,
752,Control,2,54.94,53.63,
752,Control,3,59.41,55.46,
752,0.2 ppm,1,15.69,16.7,
752,0.2 ppm,2,17.44,17.61,
752,0.2 ppm,3,18.48,17.63,
753,Control,1,50.73,51.9,
753,Control,2,52.86,51.97,
753,Control,3,49.08,49.65,
753,0.2 ppm,1,,,
753,0.2 ppm,2,18.43,17.94,
753,0.2 ppm,3,19.15,20.78,
758,Control,1,58.59,59.69,
758,Control,2,56.7,58.12,
758,Control,3,60.71,58.67,
758,0.2 ppm,1,23.33,23.31,
758,0.2 ppm,2,24.14,24.52,
758,0.2 ppm,3,24.01,24.42,
770,Control,1,57.65,54.62,
770,Control,2,56.24,56.38,
770,Control,3,54.38,54.94,
770,0.2 ppm,1,21.57,21.27,
770,0.2 ppm,2,21.03,23.02,
770,0.2 ppm,3,22.91,23.72,
788,Control,1,57.09,54.8,
788,Control,2,56.78,55.15,
788,Control,3,53.24,53.81,
788,0.2 ppm,1,21.21,21.49,
788,0.2 ppm,2,21.62,21.47,
788,0.2 ppm,3,21.74,19.93,
810,Control,1,57.3,56.67,
810,Control,2,54.4,55.22,
810,Control,3,50.6,52,
810,0.2 ppm,1,23.36,24.16,
810,0.2 ppm,2,20.6,24.15,
810,0.2 ppm,3,23.72,22.98,
815,Control,1,61.48,60.78,
815,Control,2,60.38,56.69,
815,Control,3,60.68,63.2,
815,0.2 ppm,1,19.88,19.42,
815,0.2 ppm,2,18.52,20.12,
815,0.2 ppm,3,21.44,21.32,
816,Control,1,57.94,59.5,
816,Control,2,58.16,57.08,
816,Control,3,59.25,58.75,
816,0.2 ppm,1,20.18,19.82,
816,0.2 ppm,2,19.72,19.84,
816,0.2 ppm,3,21.06,20.04,
819,Control,1,55.41,55.57,
819,Control,2,58.89,57.19,
819,Control,3,56.72,57.22,
819,0.2 ppm,1,23.83,23.38,
819,0.2 ppm,2,27.25,24.59,
819,0.2 ppm,3,25.69,23.22,
819,Control,1,58.2,60.2,
863,Control,2,57.12,59.01,
863,Control,3,58.75,60.66,
863,0.2 ppm,1,19.55,20.19,
863,0.2 ppm,2,19.3,20.42,
863,0.2 ppm,3,19.53,19.2,
874,Control,1,56.32,55.13,
874,Control,2,55,55.66,
874,Control,3,58.25,61.08,
874,0.2 ppm,1,18.3,18.44,
874,0.2 ppm,2,19.73,19.07,
874,0.2 ppm,3,18.91,18.55,
888,Control,1,56.87,54.72,
888,Control,2,49.72,48.35,
888,Control,3,59.92,54.54,
888,0.2 ppm,1,23.08,25.24,